,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
837,40-49,Female,Single,No,Travel Frequently,Very Close,Research & Development,Master,Medical,Medium,High,Lvl 3,Research Director,High,88,593,13499,13782,9,No,17,Excellent,High,80,Lvl 0,21-29 years,3 years,Good,11-20 years,7 years,2 years,13 years
838,40-49,Male,Single,Yes,Travel Frequently,Close,Sales,Bachelor,Life Sciences,High,High,Lvl 4,Sales Executive,Low,44,481,13758,2447,0,Yes,12,Excellent,Medium,80,Lvl 0,21-29 years,2 years,Good,21-29 years,9 years,13 years,14 years
839,40-49,Male,Single,No,Travel Rarely,Very Close,Sales,Master,Marketing,Medium,High,Lvl 2,Sales Executive,Low,45,647,5155,2253,7,No,13,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Best,0-10 years,4 years,1 years,5 years
840,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Very High,Medium,Lvl 1,Laboratory Technician,High,58,982,2258,16340,6,No,12,Excellent,Medium,80,Lvl 1,11-20 years,2 years,Better,0-10 years,0 year,1 years,7 years
841,20-29,Male,Single,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,Very High,High,Lvl 1,Laboratory Technician,Medium,49,477,3597,6409,8,No,22,Outstanding,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,3 years,1 years,2 years
842,20-29,Female,Married,Yes,Travel Rarely,Close,Research & Development,Below College,Life Sciences,High,High,Lvl 1,Laboratory Technician,Very High,79,1485,2515,22955,1,Yes,11,Excellent,Very High,80,Lvl 0,0-10 years,4 years,Good,0-10 years,1 years,0 year,0 year
843,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Low,Very High,Lvl 1,Laboratory Technician,Very High,82,1384,4420,13421,1,No,22,Outstanding,Medium,80,Lvl 1,0-10 years,2 years,Better,0-10 years,7 years,0 year,7 years
844,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,High,Medium,Lvl 2,Sales Executive,High,72,852,6578,2706,1,No,18,Excellent,Low,80,Lvl 1,11-20 years,3 years,Better,11-20 years,3 years,1 years,4 years
845,40-49,Female,Married,No,Travel Frequently,Far,Research & Development,College,Medical,High,Medium,Lvl 2,Research Scientist,Very High,92,902,4422,21203,3,Yes,13,Excellent,Very High,80,Lvl 1,11-20 years,3 years,Bad,0-10 years,1 years,0 year,0 year
846,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Medium,Lvl 3,Manufacturing Director,Medium,44,819,10274,19588,2,No,18,Excellent,Medium,80,Lvl 1,11-20 years,2 years,Best,0-10 years,7 years,6 years,4 years
847,30-39,Male,Single,No,Travel Frequently,Very Close,Research & Development,Bachelor,Medical,Very High,Medium,Lvl 2,Healthcare Representative,Low,97,669,5343,25755,0,No,20,Outstanding,High,80,Lvl 0,11-20 years,3 years,Better,11-20 years,9 years,4 years,9 years
848,30-39,Male,Married,No,Travel Frequently,Very Close,Research & Development,Master,Other,Very High,Medium,Lvl 1,Laboratory Technician,Very High,47,636,2376,26537,1,No,13,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Best,0-10 years,2 years,2 years,2 years
849,40-49,Female,Single,Yes,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Low,Low,Lvl 2,Sales Executive,High,85,1372,5346,9489,8,No,13,Excellent,Medium,80,Lvl 0,0-10 years,2 years,Good,0-10 years,3 years,1 years,3 years
850,30-39,Female,Divorced,No,Non Travel,Very Close,Sales,Below College,Life Sciences,High,High,Lvl 1,Sales Representative,Low,76,862,2827,14947,1,No,12,Excellent,High,80,Lvl 3,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
851,50-59,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Technical Degree,Very High,High,Lvl 5,Manager,Low,92,718,19943,18575,4,No,13,Excellent,Very High,80,Lvl 1,21-29 years,2 years,Better,0-10 years,2 years,4 years,2 years
852,20-29,Female,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Medium,High,Lvl 1,Laboratory Technician,Very High,54,1401,3131,26342,1,No,13,Excellent,Low,80,Lvl 1,11-20 years,5 years,Better,11-20 years,8 years,0 year,8 years
853,<20,Male,Single,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,High,High,Lvl 1,Research Scientist,Low,54,645,2552,7172,1,No,25,Outstanding,High,80,Lvl 0,0-10 years,4 years,Better,0-10 years,1 years,0 year,0 year
854,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,High,Lvl 1,Research Scientist,High,83,1457,4477,20100,4,Yes,19,Excellent,High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,2 years,0 year,2 years
855,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 2,Manufacturing Director,Very High,56,977,6474,9961,1,No,13,Excellent,Medium,80,Lvl 1,11-20 years,2 years,Good,11-20 years,8 years,3 years,11 years
856,20-29,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Low,Medium,Lvl 1,Laboratory Technician,High,87,805,3033,12828,1,No,12,Excellent,Low,80,Lvl 0,0-10 years,2 years,Good,0-10 years,2 years,1 years,2 years
857,40-49,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,High,Lvl 1,Research Scientist,High,96,1097,2936,10826,1,Yes,11,Excellent,High,80,Lvl 0,0-10 years,4 years,Better,0-10 years,4 years,0 year,2 years
858,50-59,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Medical,Very High,High,Lvl 5,Manager,High,50,1223,18606,18640,3,No,18,Excellent,Medium,80,Lvl 1,21-29 years,6 years,Better,0-10 years,7 years,4 years,7 years
859,20-29,Female,Married,No,Travel Rarely,Close,Research & Development,Below College,Life Sciences,Medium,Low,Lvl 1,Research Scientist,Very High,69,942,2168,26933,0,Yes,18,Excellent,Low,80,Lvl 1,0-10 years,2 years,Good,0-10 years,4 years,1 years,3 years
860,20-29,Male,Married,Yes,Travel Frequently,Very Close,Research & Development,Master,Life Sciences,High,Medium,Lvl 1,Research Scientist,Very High,48,1256,2853,4223,0,Yes,11,Excellent,Medium,80,Lvl 1,0-10 years,5 years,Better,0-10 years,0 year,0 year,0 year
861,40-49,Female,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,High,High,Lvl 4,Manager,Low,69,1402,17048,24097,8,No,23,Outstanding,Low,80,Lvl 0,21-29 years,2 years,Better,21-29 years,15 years,15 years,9 years
862,40-49,Male,Single,No,Non Travel,Close,Research & Development,Bachelor,Life Sciences,Very High,Low,Lvl 1,Research Scientist,High,74,111,2290,4279,2,No,13,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
863,30-39,Male,Married,No,Travel Rarely,Very Close,Human Resources,Bachelor,Human Resources,Medium,High,Lvl 1,Human Resources,High,99,147,3600,8429,1,No,13,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,4 years,1 years,4 years
864,40-49,Male,Divorced,Yes,Non Travel,Very Close,Research & Development,College,Life Sciences,Low,Medium,Lvl 1,Research Scientist,Low,95,906,2107,20293,6,No,17,Excellent,Low,80,Lvl 1,0-10 years,2 years,Bad,0-10 years,0 year,0 year,0 year
865,30-39,Male,Divorced,No,Travel Rarely,Far,Sales,Master,Life Sciences,High,High,Lvl 2,Sales Executive,Low,61,1329,4115,13192,8,No,19,Excellent,High,80,Lvl 3,0-10 years,3 years,Better,0-10 years,3 years,0 year,3 years
866,40-49,Male,Married,No,Travel Frequently,Very Close,Sales,Master,Medical,Medium,High,Lvl 2,Sales Executive,Medium,62,1184,4327,25440,5,No,12,Excellent,Very High,80,Lvl 3,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
867,50-59,Female,Married,No,Travel Frequently,Very Close,Research & Development,Bachelor,Medical,Very High,High,Lvl 4,Manager,Low,30,1421,17856,9490,2,No,22,Outstanding,High,80,Lvl 1,31-40 years,3 years,Better,0-10 years,2 years,2 years,2 years
868,20-29,Male,Married,No,Travel Rarely,Close,Research & Development,Master,Medical,Very High,Medium,Lvl 1,Laboratory Technician,Low,78,1179,3196,12449,1,No,12,Excellent,High,80,Lvl 3,0-10 years,2 years,Better,0-10 years,5 years,3 years,3 years
869,40-49,Male,Married,No,Travel Rarely,Close,Research & Development,College,Life Sciences,Very High,High,Lvl 5,Research Director,Medium,52,1450,19081,10849,5,No,11,Excellent,Low,80,Lvl 1,21-29 years,2 years,Better,0-10 years,2 years,0 year,3 years
870,30-39,Male,Married,No,Travel Rarely,Close,Sales,Master,Life Sciences,High,High,Lvl 2,Sales Executive,Low,94,1361,8966,21026,3,Yes,15,Excellent,Very High,80,Lvl 3,11-20 years,2 years,Better,0-10 years,7 years,1 years,7 years
871,20-29,Female,Married,Yes,Travel Rarely,Close,Research & Development,College,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,Medium,97,984,2210,3372,1,No,13,Excellent,Low,80,Lvl 1,0-10 years,3 years,Bad,0-10 years,0 year,0 year,0 year
872,30-39,Female,Married,No,Travel Frequently,Far,Sales,Bachelor,Medical,Medium,High,Lvl 2,Sales Executive,High,82,1146,4539,4905,1,No,12,Excellent,Low,80,Lvl 1,11-20 years,3 years,Good,11-20 years,7 years,0 year,1 years
873,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,Low,Lvl 1,Laboratory Technician,High,60,917,2741,6865,1,No,14,Excellent,High,80,Lvl 1,0-10 years,4 years,Better,0-10 years,7 years,1 years,7 years
874,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,High,Lvl 2,Laboratory Technician,High,49,853,3491,11309,1,No,13,Excellent,Low,80,Lvl 3,11-20 years,4 years,Good,11-20 years,7 years,8 years,9 years
875,40-49,Male,Single,No,Travel Rarely,Far,Research & Development,Master,Other,Very High,High,Lvl 2,Research Scientist,Very High,32,200,4541,7744,1,No,25,Outstanding,Medium,80,Lvl 0,21-29 years,3 years,Better,21-29 years,11 years,13 years,17 years
876,20-29,Male,Single,No,Travel Rarely,Far,Sales,Bachelor,Marketing,High,Very High,Lvl 1,Sales Representative,Very High,43,654,2678,5050,1,No,17,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,1 years,2 years,2 years
877,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Technical Degree,Very High,High,Lvl 2,Manufacturing Director,Very High,60,150,7379,17433,2,No,11,Excellent,High,80,Lvl 1,11-20 years,3 years,Good,0-10 years,3 years,1 years,4 years
878,40-49,Male,Married,No,Non Travel,Very Close,Human Resources,Doctor,Medical,Very High,Very High,Lvl 2,Human Resources,Low,79,179,6272,12858,7,No,16,Excellent,Low,80,Lvl 1,11-20 years,3 years,Best,0-10 years,3 years,0 year,3 years
879,60+,Male,Divorced,No,Travel Rarely,Very Close,Sales,Master,Marketing,Medium,Very High,Lvl 2,Sales Executive,Very High,52,696,5220,10893,0,Yes,18,Excellent,Medium,80,Lvl 1,11-20 years,3 years,Better,11-20 years,7 years,1 years,9 years
880,30-39,Female,Married,No,Travel Frequently,Close,Research & Development,Bachelor,Other,High,Medium,Lvl 1,Laboratory Technician,Medium,77,116,2743,7331,1,No,20,Outstanding,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
881,30-39,Female,Single,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 2,Research Scientist,High,38,1316,4998,2338,4,Yes,14,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,7 years,0 year,7 years
882,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Technical Degree,High,Low,Lvl 3,Manufacturing Director,Low,77,363,10252,4235,2,Yes,21,Outstanding,High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,7 years,7 years,7 years
883,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,High,Lvl 1,Research Scientist,Very High,60,117,2781,6311,0,No,13,Excellent,Medium,80,Lvl 1,11-20 years,5 years,Better,11-20 years,10 years,4 years,10 years
884,40-49,Female,Divorced,No,Travel Rarely,Very Close,Sales,Bachelor,Technical Degree,Medium,Medium,Lvl 2,Sales Executive,Medium,84,107,6852,11591,7,No,12,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Best,0-10 years,1 years,1 years,3 years
885,20-29,Male,Single,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,High,High,Lvl 2,Sales Executive,Very High,57,1356,4950,20623,0,No,14,Excellent,Medium,80,Lvl 0,0-10 years,4 years,Better,0-10 years,3 years,1 years,1 years
886,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Very High,High,Lvl 1,Research Scientist,Medium,63,1465,3579,9369,0,Yes,21,Outstanding,Low,80,Lvl 1,11-20 years,2 years,Better,11-20 years,9 years,5 years,7 years
887,40-49,Female,Married,No,Travel Frequently,Far,Research & Development,Doctor,Medical,Low,High,Lvl 3,Research Director,Low,60,458,13191,23281,3,Yes,17,Excellent,High,80,Lvl 0,21-29 years,6 years,Better,0-10 years,0 year,0 year,0 year
888,30-39,Female,Married,No,Non Travel,Very Close,Sales,College,Marketing,High,Medium,Lvl 3,Sales Executive,Very High,78,1212,10377,13755,4,Yes,11,Excellent,Medium,80,Lvl 1,11-20 years,6 years,Good,11-20 years,2 years,4 years,12 years
889,20-29,Male,Married,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Research Scientist,Low,42,1103,2235,14377,1,Yes,14,Excellent,Very High,80,Lvl 2,0-10 years,3 years,Good,0-10 years,7 years,6 years,8 years
890,50-59,Female,Divorced,No,Travel Frequently,Very Close,Research & Development,Master,Life Sciences,Very High,High,Lvl 3,Manufacturing Director,High,53,966,10502,9659,7,No,17,Excellent,Low,80,Lvl 1,31-40 years,2 years,Bad,0-10 years,4 years,1 years,4 years
891,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,Low,Very High,Lvl 1,Research Scientist,Very High,72,1117,2011,19982,1,No,13,Excellent,Very High,80,Lvl 1,11-20 years,5 years,Better,11-20 years,5 years,7 years,7 years
892,<20,Female,Single,Yes,Non Travel,Very Close,Research & Development,Bachelor,Medical,Low,Medium,Lvl 1,Research Scientist,Medium,96,504,1859,6148,1,Yes,25,Outstanding,Medium,80,Lvl 0,0-10 years,2 years,Best,0-10 years,1 years,0 year,0 year
893,20-29,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Research Scientist,Very High,97,1010,3760,5598,1,No,15,Excellent,Low,80,Lvl 3,0-10 years,5 years,Better,0-10 years,2 years,1 years,2 years
894,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 4,Research Director,Very High,85,685,17779,23474,3,No,14,Excellent,Low,80,Lvl 0,31-40 years,2 years,Better,11-20 years,9 years,0 year,9 years
895,30-39,Male,Married,No,Travel Rarely,Close,Research & Development,College,Medical,High,High,Lvl 2,Healthcare Representative,Low,80,1332,6833,17089,1,Yes,12,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,5 years,0 year,1 years
896,30-39,Female,Single,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,High,Medium,Lvl 2,Healthcare Representative,Low,96,1062,6812,17198,1,No,19,Excellent,Medium,80,Lvl 0,11-20 years,2 years,Better,11-20 years,9 years,1 years,8 years
897,50-59,Female,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,High,Medium,Lvl 2,Sales Executive,Very High,48,326,5171,16490,5,No,17,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,1 years,0 year,5 years
898,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Low,Lvl 5,Research Director,Very High,96,920,19740,18625,3,No,14,Excellent,Medium,80,Lvl 1,21-29 years,2 years,Better,0-10 years,7 years,0 year,7 years
899,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Low,Medium,Lvl 5,Manager,High,85,1098,18711,12124,2,No,13,Excellent,High,80,Lvl 1,21-29 years,2 years,Best,0-10 years,0 year,0 year,0 year
900,30-39,Male,Married,No,Travel Frequently,Very Close,Research & Development,Bachelor,Technical Degree,High,High,Lvl 1,Research Scientist,Medium,46,469,3692,9256,1,No,12,Excellent,High,80,Lvl 0,11-20 years,2 years,Good,11-20 years,10 years,0 year,7 years
901,40-49,Male,Single,No,Travel Rarely,Very Close,Research & Development,College,Technical Degree,Very High,Very High,Lvl 1,Laboratory Technician,Medium,76,969,2559,16620,5,No,11,Excellent,High,80,Lvl 0,0-10 years,4 years,Good,0-10 years,0 year,0 year,0 year
902,20-29,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Low,High,Lvl 1,Research Scientist,High,76,1167,2517,3208,1,No,11,Excellent,Medium,80,Lvl 3,0-10 years,2 years,Better,0-10 years,3 years,0 year,3 years
903,20-29,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 2,Healthcare Representative,Very High,82,1329,6623,4204,1,Yes,11,Excellent,Medium,80,Lvl 2,0-10 years,2 years,Better,0-10 years,0 year,1 years,0 year
904,40-49,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 5,Research Director,Very High,76,715,18265,8733,6,No,12,Excellent,High,80,Lvl 0,21-29 years,3 years,Best,0-10 years,0 year,0 year,0 year
905,20-29,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 4,Research Director,Very High,87,694,16124,3423,3,No,14,Excellent,Medium,80,Lvl 2,0-10 years,2 years,Good,0-10 years,7 years,1 years,7 years
906,30-39,Female,Married,No,Travel Rarely,Far,Research & Development,Bachelor,Technical Degree,High,Very High,Lvl 1,Research Scientist,High,89,1320,2585,21643,0,No,17,Excellent,Very High,80,Lvl 0,0-10 years,5 years,Good,0-10 years,0 year,0 year,0 year
907,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Medium,High,Lvl 5,Manager,Medium,88,1099,18213,8751,7,No,11,Excellent,High,80,Lvl 1,21-29 years,5 years,Better,21-29 years,9 years,3 years,10 years
908,30-39,Male,Divorced,No,Travel Rarely,Very Close,Sales,Doctor,Marketing,Very High,Very High,Lvl 3,Sales Executive,High,82,536,8380,21708,0,Yes,14,Excellent,Very High,80,Lvl 2,11-20 years,3 years,Better,0-10 years,8 years,0 year,8 years
909,<20,Female,Single,No,Travel Rarely,Far,Research & Development,Bachelor,Life Sciences,Medium,Very High,Lvl 1,Research Scientist,Very High,57,265,2994,21221,1,Yes,12,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,0 year,0 year,1 years
910,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 1,Research Scientist,High,47,373,1223,16901,1,No,22,Outstanding,Very High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,0 year,0 year,1 years
911,20-29,Male,Single,Yes,Travel Frequently,Far,Sales,Below College,Life Sciences,High,Low,Lvl 1,Sales Representative,Very High,73,599,1118,8040,1,Yes,14,Excellent,Very High,80,Lvl 0,0-10 years,4 years,Better,0-10 years,0 year,1 years,0 year
912,20-29,Male,Single,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,High,High,Lvl 1,Research Scientist,Very High,53,583,2875,9973,1,Yes,20,Outstanding,Medium,80,Lvl 0,0-10 years,2 years,Good,0-10 years,5 years,2 years,2 years
913,40-49,Female,Single,Yes,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Low,Low,Lvl 5,Manager,Medium,94,1449,18824,2493,2,Yes,16,Excellent,Low,80,Lvl 0,21-29 years,2 years,Better,21-29 years,10 years,1 years,11 years
914,50-59,Male,Divorced,No,Non Travel,Very Close,Research & Development,Below College,Medical,Very High,Medium,Lvl 4,Healthcare Representative,Medium,37,177,13577,25592,1,Yes,15,Excellent,Very High,80,Lvl 1,31-40 years,3 years,Better,31-40 years,9 years,15 years,0 year
915,20-29,Female,Single,Yes,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Low,Medium,Lvl 1,Laboratory Technician,High,45,251,2625,25308,1,No,20,Outstanding,High,80,Lvl 0,0-10 years,2 years,Bad,0-10 years,2 years,2 years,2 years
